                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5124,                0.81028,                0.97885,                0.71855,                0.55611,                0.58297,                0.39433,                 1.4841,                0.76327,                0.94058,               0.003268,               0.003268,               0.003268
                     36,                 1.4605,                0.79144,                0.97272,                0.88903,                0.54022,                 0.5715,                0.38751,                 1.4976,                0.76996,                0.94393,                0.00307,                0.00307,                0.00307
                     37,                 1.5012,                0.80705,                0.97669,                0.65572,                0.56768,                0.58131,                0.39053,                 1.4774,                0.75423,                0.93557,               0.002872,               0.002872,               0.002872
                     38,                 1.5034,                0.80571,                0.97647,                0.73006,                0.56026,                0.57816,                0.38979,                 1.4732,                0.75851,                0.94016,               0.002674,               0.002674,               0.002674
                     39,                 1.5136,                0.80243,                0.97621,                0.64071,                0.56537,                0.57397,                0.38929,                 1.4861,                0.75979,                0.94116,               0.002476,               0.002476,               0.002476
                     40,                 1.4456,                0.77841,                0.97193,                0.63165,                0.57541,                0.57787,                0.39334,                 1.4534,                 0.7792,                0.93703,               0.002278,               0.002278,               0.002278
                     41,                 1.4672,                0.78467,                0.96944,                0.70397,                0.55735,                0.58367,                0.39232,                 1.4757,                0.73506,                0.93733,                0.00208,                0.00208,                0.00208
                     42,                 1.4864,                0.79627,                0.97197,                0.69229,                0.56323,                 0.5833,                0.39504,                 1.4598,                0.74137,                0.93404,               0.001882,               0.001882,               0.001882
                     43,                 1.4456,                0.76191,                0.97332,                0.67105,                0.56677,                0.57634,                0.38931,                 1.4632,                0.74847,                0.93455,               0.001684,               0.001684,               0.001684
                     44,                 1.4473,                0.76355,                0.96806,                 0.6786,                0.56718,                0.58052,                0.39612,                 1.4701,                0.74325,                0.93452,               0.001486,               0.001486,               0.001486
                     45,                 1.4356,                0.75695,                0.97006,                0.65594,                0.57405,                 0.5806,                0.39726,                 1.4517,                0.73227,                 0.9303,               0.001288,               0.001288,               0.001288
                     46,                 1.4564,                0.76479,                0.96707,                0.73087,                0.55541,                0.58246,                 0.3962,                 1.4523,                0.72599,                0.93525,                0.00109,                0.00109,                0.00109
                     47,                 1.4208,                0.74892,                0.96245,                0.71932,                 0.5671,                0.58948,                0.39986,                 1.4406,                0.72805,                0.92856,               0.000892,               0.000892,               0.000892
                     48,                 1.4285,                0.75021,                 0.9698,                0.65047,                0.57606,                0.58254,                0.39765,                 1.4434,                0.71759,                0.92758,               0.000694,               0.000694,               0.000694
                     49,                 1.4247,                 0.7493,                 0.9661,                0.74115,                 0.5649,                   0.59,                0.39885,                 1.4379,                0.72027,                0.92676,               0.000496,               0.000496,               0.000496
