                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8048,                 2.6501,                 1.6182,                0.49594,                0.42752,                0.44236,                0.24266,                  1.811,                 2.0185,                 1.6083,              0.0033081,              0.0033081,              0.0033081
                      1,                 1.7089,                 1.6522,                 1.5112,                 0.5189,                0.50345,                0.50562,                0.26593,                 1.8248,                 1.6623,                 1.5527,              0.0066283,              0.0066283,              0.0066283
                      2,                 1.7683,                 1.5993,                   1.53,                0.34948,                0.47021,                0.40412,                0.21452,                 1.8387,                 1.9519,                 1.5878,              0.0099352,              0.0099352,              0.0099352
                      3,                 1.7476,                 1.5323,                 1.4932,                0.67859,                 0.4592,                0.53557,                0.27988,                 1.7995,                 1.5879,                 1.5313,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.7301,                 1.4712,                  1.495,                  0.597,                0.53149,                0.57586,                0.30951,                 1.7845,                 1.4141,                 1.5302,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.7273,                 1.4373,                 1.5011,                0.57468,                0.55266,                0.57097,                0.30158,                 1.7919,                 1.4211,                 1.5452,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.7382,                 1.4211,                 1.5013,                0.56818,                0.55598,                0.56977,                0.30911,                 1.7855,                 1.3914,                 1.5342,               0.009901,               0.009901,               0.009901
                      7,                 1.7155,                 1.3623,                 1.4824,                0.63962,                0.50163,                0.55193,                0.29711,                 1.7894,                 1.4924,                   1.54,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.7254,                 1.3633,                 1.4969,                0.55599,                0.58744,                0.58759,                0.32408,                 1.7635,                 1.3026,                 1.5166,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.6914,                  1.308,                 1.4792,                0.59781,                0.56955,                0.58246,                0.31554,                 1.7839,                 1.3376,                 1.5351,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.6801,                 1.2781,                 1.4788,                0.60213,                0.57706,                  0.599,                0.32968,                 1.7688,                  1.307,                 1.5289,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.6871,                 1.2902,                 1.4809,                0.61143,                0.59006,                0.61414,                0.33431,                 1.7588,                 1.2623,                 1.5199,               0.009802,               0.009802,               0.009802
                     12,                 1.6746,                 1.2773,                  1.483,                 0.5756,                0.59224,                0.60673,                0.32591,                 1.7409,                 1.2399,                 1.5316,              0.0097822,              0.0097822,              0.0097822
                     13,                  1.659,                 1.2469,                 1.4715,                0.63344,                0.58427,                 0.6224,                0.33984,                 1.7492,                 1.2347,                 1.5163,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.6647,                  1.231,                 1.4687,                0.61176,                 0.5922,                0.61453,                0.33066,                 1.7493,                 1.2165,                 1.5144,              0.0097426,              0.0097426,              0.0097426
                     15,                  1.666,                  1.226,                 1.4782,                0.70345,                0.55058,                 0.6233,                0.33354,                 1.7714,                 1.2073,                 1.5222,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.6791,                 1.2118,                  1.485,                 0.6223,                0.58065,                0.61526,                0.32721,                 1.7607,                 1.2177,                 1.5332,               0.009703,               0.009703,               0.009703
                     17,                 1.6573,                 1.2019,                 1.4588,                0.63447,                0.59393,                0.60956,                0.33592,                 1.7794,                 1.2345,                  1.527,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.6469,                 1.1706,                 1.4614,                0.62236,                0.58008,                0.60844,                0.33047,                 1.7438,                 1.2337,                 1.5201,              0.0096634,              0.0096634,              0.0096634
