                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8352,                 2.7331,                 1.5521,                0.41887,                0.44642,                 0.4099,                0.22287,                 1.8362,                 2.0271,                 1.5145,              0.0033081,              0.0033081,              0.0033081
                      1,                 1.7442,                 1.6303,                 1.4686,                0.52794,                0.51412,                0.49872,                0.26365,                 1.8175,                  1.534,                 1.4956,              0.0066283,              0.0066283,              0.0066283
                      2,                 1.7568,                 1.5098,                 1.4554,                0.42418,                0.38936,                0.34296,                0.17503,                 1.8342,                  2.243,                 1.5354,              0.0099352,              0.0099352,              0.0099352
                      3,                 1.7462,                 1.4649,                 1.4568,                0.53328,                0.40308,                0.36929,                 0.2059,                 1.8796,                 1.9501,                 1.5025,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.7279,                 1.4566,                 1.4676,                0.51357,                0.52781,                0.53033,                0.28293,                 1.7864,                 1.4228,                 1.4751,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.7388,                 1.3888,                   1.46,                0.57295,                0.54331,                0.55004,                0.30071,                 1.7993,                 1.4757,                 1.4535,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.7461,                  1.368,                 1.4582,                0.54206,                 0.5271,                 0.5066,                0.26634,                 1.7873,                 1.4544,                 1.4555,               0.009901,               0.009901,               0.009901
                      7,                   1.72,                 1.3218,                  1.435,                0.62332,                0.51858,                0.56284,                0.29835,                  1.776,                 1.3415,                 1.4663,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.7187,                 1.3293,                 1.4456,                0.61141,                0.54063,                0.57017,                0.30653,                 1.8064,                 1.3267,                 1.4815,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.6999,                 1.2896,                 1.4205,                0.53964,                0.55707,                0.56393,                0.30206,                 1.7703,                 1.3371,                 1.4585,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.6984,                  1.278,                 1.4269,                0.49712,                0.51347,                0.47007,                0.25333,                 1.7977,                 1.5966,                 1.4888,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.6955,                 1.2479,                 1.4179,                0.54811,                0.56388,                0.57559,                 0.3105,                 1.7657,                 1.2857,                 1.4608,               0.009802,               0.009802,               0.009802
                     12,                 1.6867,                 1.2635,                 1.4171,                0.59568,                0.56722,                0.59911,                0.32448,                 1.7478,                 1.2029,                 1.4402,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.6779,                 1.2388,                 1.4211,                0.58692,                0.56339,                0.58722,                0.31756,                 1.7554,                 1.2244,                 1.4453,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.6766,                 1.2066,                 1.4179,                0.59588,                0.57408,                0.59413,                0.32113,                 1.7421,                 1.2607,                  1.468,              0.0097426,              0.0097426,              0.0097426
                     15,                  1.655,                  1.194,                 1.4104,                0.59248,                0.58389,                0.58293,                 0.3167,                 1.7435,                 1.2211,                 1.4652,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.6746,                 1.1848,                 1.4158,                0.73433,                0.51261,                0.60667,                0.33097,                 1.7348,                 1.1879,                 1.4357,               0.009703,               0.009703,               0.009703
                     17,                 1.6639,                 1.1749,                 1.4078,                0.55848,                0.60187,                0.60871,                0.32691,                 1.7296,                 1.1534,                 1.4596,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.6755,                 1.1874,                 1.4175,                0.63924,                0.54888,                0.59897,                0.31659,                 1.7409,                 1.1883,                 1.4509,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.6594,                 1.1763,                  1.405,                0.62874,                 0.5635,                 0.5944,                0.32209,                 1.7488,                 1.2185,                 1.4576,              0.0096436,              0.0096436,              0.0096436
