                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5679,                 1.0541,                 1.5332,                0.62417,                0.65504,                0.64511,                0.35059,                 1.7515,                 1.1703,                 1.6954,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.5887,                 1.0678,                 1.5311,                0.64864,                0.64559,                0.65417,                0.35615,                 1.7633,                 1.1627,                 1.7038,              0.0093268,              0.0093268,              0.0093268
                     36,                  1.579,                 1.0858,                 1.5366,                0.65764,                0.63748,                 0.6488,                0.35742,                 1.7526,                 1.1686,                 1.6731,               0.009307,               0.009307,               0.009307
                     37,                 1.5604,                 1.0619,                 1.5141,                0.63449,                0.65301,                0.66176,                0.36554,                 1.7607,                 1.1251,                 1.6845,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.5548,                 1.0447,                 1.5071,                 0.6562,                0.63254,                0.65719,                0.36039,                 1.7796,                 1.1388,                 1.6872,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.5704,                 1.0576,                 1.5227,                 0.6488,                0.64394,                0.66447,                0.36469,                 1.7546,                 1.1279,                 1.6794,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.5672,                 1.0483,                  1.525,                0.64575,                0.65817,                0.66427,                0.36573,                  1.769,                 1.1222,                 1.6969,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.5374,                 1.0321,                 1.5054,                0.62957,                0.65057,                0.65318,                0.36081,                 1.7568,                 1.1621,                  1.701,               0.009208,               0.009208,               0.009208
                     42,                 1.5448,                 1.0309,                 1.5138,                0.66348,                0.65973,                0.66204,                0.36309,                 1.7701,                 1.1057,                 1.6958,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.5456,                  1.022,                 1.5123,                0.65672,                0.64477,                0.65836,                0.36122,                 1.7783,                 1.1354,                 1.7072,              0.0091684,              0.0091684,              0.0091684
