                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.561,                0.98984,                  1.416,                 0.6648,                0.64758,                0.65332,                 0.3611,                 1.7387,                 1.0559,                 1.5157,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.5793,                0.99881,                 1.4167,                0.65126,                0.63267,                0.64883,                 0.3615,                 1.7386,                 1.0642,                  1.513,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.5727,                 1.0057,                 1.4127,                0.64449,                0.63696,                0.64525,                0.35756,                 1.7532,                 1.0842,                 1.5191,               0.009307,               0.009307,               0.009307
                     37,                 1.5545,                0.99848,                 1.4018,                0.65776,                0.64107,                0.66214,                0.36469,                 1.7367,                 1.0417,                 1.4982,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.5511,                0.97931,                 1.3895,                0.64904,                0.63851,                 0.6593,                0.36258,                 1.7503,                 1.0415,                 1.5026,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.5607,                0.99639,                 1.4016,                0.64837,                0.64851,                0.66542,                 0.3645,                 1.7344,                 1.0329,                 1.5211,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.5714,                 0.9896,                 1.4174,                0.64733,                0.64229,                0.65742,                0.36268,                 1.7475,                 1.0471,                  1.532,              0.0092278,              0.0092278,              0.0092278
                     41,                  1.543,                0.98079,                 1.3973,                0.64039,                0.64201,                0.65363,                0.35867,                 1.7322,                 1.0551,                 1.4911,               0.009208,               0.009208,               0.009208
                     42,                 1.5497,                 0.9806,                 1.4049,                0.66092,                0.64726,                 0.6583,                0.36479,                 1.7436,                 1.0238,                 1.5106,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.5454,                0.96902,                 1.4024,                0.65752,                0.64449,                0.66292,                0.36264,                 1.7345,                 1.0325,                 1.5115,              0.0091684,              0.0091684,              0.0091684
                     44,                  1.548,                0.97557,                 1.4085,                 0.6371,                0.65306,                0.65355,                0.35601,                 1.7516,                  1.061,                 1.5074,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.5536,                0.96081,                 1.3765,                0.67148,                0.64516,                0.64945,                0.36537,                 1.7464,                 1.0783,                 1.5045,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.5233,                0.96046,                 1.3866,                 0.6384,                0.64502,                0.65425,                0.36243,                  1.756,                 1.0467,                 1.5315,               0.009109,               0.009109,               0.009109
                     47,                 1.5125,                0.93601,                 1.3851,                0.66546,                0.63103,                0.65318,                0.35947,                 1.7651,                 1.0473,                 1.5189,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.5446,                0.95634,                 1.3916,                 0.6583,                0.63997,                0.64727,                0.35935,                 1.7617,                 1.0919,                  1.521,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.5125,                0.94752,                 1.3858,                0.62978,                0.66197,                0.66321,                0.36373,                  1.735,                 1.0391,                 1.5196,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.5209,                0.94926,                 1.3803,                0.67218,                0.65727,                0.66785,                0.36751,                 1.7485,                 1.0324,                 1.5298,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.5248,                0.95341,                 1.3849,                0.65061,                0.65843,                0.66194,                0.36351,                 1.7466,                 1.0483,                 1.5296,                0.00901,                0.00901,                0.00901
                     52,                  1.506,                0.92521,                 1.3799,                0.66661,                0.63176,                0.65432,                0.36055,                 1.7439,                 1.0377,                 1.5152,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.4974,                0.91306,                 1.3727,                0.65534,                0.64483,                0.65865,                 0.3668,                 1.7529,                 1.0363,                  1.532,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.5206,                 0.9399,                 1.3817,                0.65694,                0.64013,                0.66003,                0.35857,                 1.7576,                 1.0344,                 1.5443,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.5027,                0.93055,                 1.3718,                0.65196,                0.65256,                0.66625,                0.36075,                 1.7578,                 1.0205,                 1.5233,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.5162,                0.92687,                 1.3693,                0.67763,                0.65486,                0.66249,                0.36308,                 1.7508,                  1.034,                 1.5296,               0.008911,               0.008911,               0.008911
                     57,                 1.5274,                0.94068,                 1.3741,                0.63688,                0.65952,                0.66961,                0.36543,                 1.7692,                 1.0223,                  1.521,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.5017,                0.92369,                 1.3621,                0.63479,                 0.6617,                0.65721,                0.36075,                 1.7659,                 1.0393,                 1.5178,              0.0088714,              0.0088714,              0.0088714
