                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5311,                0.94617,                 1.4491,                0.64079,                0.65157,                0.66007,                0.35779,                   1.74,                 1.0576,                 1.5924,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.5488,                0.96493,                 1.4483,                0.66168,                 0.6354,                 0.6618,                0.36603,                 1.7514,                 1.0446,                 1.5988,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.5427,                0.96908,                 1.4594,                0.66229,                0.65095,                0.66047,                0.36262,                 1.7409,                  1.051,                 1.5982,               0.009307,               0.009307,               0.009307
                     37,                  1.526,                0.96199,                  1.445,                 0.6468,                0.65644,                   0.67,                0.36644,                 1.7433,                 1.0242,                 1.5853,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.5097,                0.94568,                 1.4222,                0.66586,                0.65407,                0.66986,                0.36853,                 1.7445,                 1.0188,                 1.6024,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.5229,                0.94654,                 1.4394,                0.64096,                0.66264,                0.66354,                0.36517,                 1.7457,                 1.0177,                 1.6063,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.5392,                 0.9413,                 1.4493,                0.65752,                0.65572,                0.66424,                0.36652,                 1.7608,                 1.0236,                 1.6052,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.5021,                0.92778,                 1.4331,                0.65448,                 0.6534,                0.65543,                0.36143,                 1.7542,                 1.0483,                 1.6134,               0.009208,               0.009208,               0.009208
                     42,                 1.5129,                0.93091,                 1.4391,                0.67179,                0.66324,                0.65996,                 0.3598,                 1.7539,                  1.017,                 1.5934,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.5062,                0.91932,                 1.4268,                0.66356,                0.64678,                0.66204,                0.36285,                 1.7528,                 1.0275,                 1.5962,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.5107,                0.92851,                 1.4362,                0.65804,                0.66984,                0.66075,                0.36243,                 1.7525,                 1.0157,                 1.5861,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.5061,                0.91902,                 1.4129,                0.67715,                0.65469,                0.65872,                0.36591,                 1.7618,                 1.0465,                 1.6087,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.4832,                0.91136,                  1.421,                0.66713,                0.64548,                0.65953,                0.36162,                 1.7809,                 1.0357,                 1.6266,               0.009109,               0.009109,               0.009109
                     47,                 1.4705,                0.89046,                 1.4198,                0.66385,                0.65783,                 0.6656,                0.36144,                 1.7737,                  1.022,                 1.6199,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.5101,                0.90769,                 1.4302,                0.67966,                0.63515,                0.65498,                0.35779,                 1.7627,                  1.066,                 1.6081,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.4768,                 0.9051,                 1.4256,                0.65555,                0.65975,                0.66688,                0.36692,                 1.7609,                  1.009,                 1.6226,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.4792,                0.90261,                 1.4078,                0.66547,                0.67278,                0.66775,                 0.3708,                 1.7745,                 1.0215,                 1.6265,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.4792,                0.90453,                 1.4041,                0.66831,                0.66066,                0.66137,                 0.3607,                 1.7676,                 1.0495,                 1.6033,                0.00901,                0.00901,                0.00901
                     52,                 1.4666,                0.87945,                 1.4068,                0.66938,                0.65145,                0.66625,                0.36457,                 1.7691,                 1.0116,                 1.6203,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.4572,                0.87495,                 1.4051,                0.66642,                0.66525,                0.66711,                0.36629,                 1.7773,                 1.0275,                 1.6323,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.4724,                0.89637,                  1.418,                0.64291,                0.67468,                0.67085,                0.36088,                 1.7792,                 1.0014,                 1.6492,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.4516,                0.89025,                 1.4068,                0.65462,                0.67423,                0.67303,                0.36908,                 1.7834,                 1.0097,                 1.6407,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.4694,                0.88299,                 1.4078,                0.68043,                0.65456,                0.66775,                0.36584,                 1.7764,                  1.026,                 1.6358,               0.008911,               0.008911,               0.008911
                     57,                 1.4737,                0.89247,                 1.4065,                 0.6414,                 0.6608,                0.66577,                0.36147,                 1.7823,                 1.0135,                 1.6235,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.4516,                 0.8761,                 1.3977,                0.63642,                0.66896,                 0.6552,                0.35814,                 1.7875,                 1.0258,                 1.6409,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.4519,                 0.8774,                 1.3976,                 0.6662,                0.66499,                0.66597,                0.36034,                 1.7945,                 1.0161,                 1.6442,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.4333,                0.86311,                 1.3917,                0.66411,                0.66673,                0.66783,                0.36566,                 1.7974,                 0.9931,                 1.6531,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.4579,                0.87761,                 1.3878,                0.63897,                0.65336,                0.65818,                0.35814,                 1.7826,                 1.0189,                 1.6307,               0.008812,               0.008812,               0.008812
                     62,                 1.4336,                0.85972,                 1.3717,                0.66218,                0.66785,                0.66285,                0.36015,                 1.7957,                 1.0011,                 1.6408,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.4388,                0.86921,                 1.3936,                0.65138,                0.66537,                0.66269,                0.36182,                 1.7964,                 1.0083,                 1.6514,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.4298,                0.86207,                 1.3926,                0.65498,                0.67114,                0.66358,                0.35903,                 1.8006,                 1.0219,                 1.6616,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.4336,                0.87032,                 1.3918,                0.65722,                0.66726,                0.66442,                0.35879,                 1.8011,                 1.0281,                 1.6603,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.4281,                0.86363,                 1.3978,                0.65529,                0.67798,                0.66609,                0.36222,                 1.7825,                  1.026,                 1.6491,               0.008713,               0.008713,               0.008713
                     67,                 1.4375,                 0.8708,                 1.3726,                0.67239,                0.67174,                0.65672,                0.35521,                 1.7958,                 1.0269,                 1.6368,              0.0086932,              0.0086932,              0.0086932
                     68,                 1.4306,                0.86248,                 1.3756,                0.66296,                0.66521,                0.66762,                 0.3592,                 1.7977,                 1.0082,                 1.6331,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.4315,                0.85966,                 1.3715,                0.66262,                0.67177,                0.66592,                0.36314,                 1.7985,                 1.0174,                 1.6613,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.4316,                0.85222,                   1.39,                0.67491,                0.66723,                0.66052,                0.35751,                 1.8075,                 1.0331,                 1.6458,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.4454,                0.85802,                 1.3895,                 0.6737,                0.66399,                0.66614,                0.36096,                 1.8137,                 1.0347,                 1.6569,               0.008614,               0.008614,               0.008614
                     72,                  1.406,                0.82221,                 1.3587,                0.65928,                0.66158,                0.65564,                0.35796,                  1.823,                 1.0197,                 1.6578,              0.0085942,              0.0085942,              0.0085942
                     73,                  1.409,                0.84291,                 1.3631,                0.65479,                0.65557,                0.65113,                0.35312,                 1.8064,                 1.0308,                 1.6673,              0.0085744,              0.0085744,              0.0085744
                     74,                 1.4119,                0.85809,                 1.3756,                0.66294,                0.65681,                   0.66,                0.35853,                 1.8251,                 1.0169,                 1.6816,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.4133,                0.83165,                 1.3582,                0.68364,                0.66197,                0.65773,                0.35796,                 1.8275,                 1.0406,                 1.6661,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.3886,                0.83128,                 1.3497,                0.66708,                 0.6688,                0.66475,                0.35822,                 1.8059,                  1.027,                 1.6578,               0.008515,               0.008515,               0.008515
                     77,                 1.4026,                0.83275,                 1.3636,                0.66556,                0.68344,                 0.6626,                0.36304,                 1.8217,                 1.0343,                 1.6778,              0.0084952,              0.0084952,              0.0084952
                     78,                 1.3998,                0.83425,                 1.3649,                0.67384,                 0.6665,                 0.6643,                0.35926,                  1.817,                 1.0236,                 1.6664,              0.0084754,              0.0084754,              0.0084754
                     79,                  1.405,                 0.8371,                  1.349,                0.66634,                0.67689,                0.65522,                0.35257,                 1.8235,                 1.0522,                 1.6698,              0.0084556,              0.0084556,              0.0084556
                     80,                 1.3865,                0.83453,                 1.3638,                0.67575,                0.66122,                0.65338,                0.35713,                 1.8347,                 1.0544,                 1.6971,              0.0084358,              0.0084358,              0.0084358
                     81,                 1.4183,                0.83291,                 1.3721,                 0.6574,                0.65915,                0.65758,                0.35501,                   1.83,                  1.034,                 1.7014,               0.008416,               0.008416,               0.008416
                     82,                 1.3639,                0.81596,                 1.3534,                0.64872,                0.66822,                0.66123,                0.36084,                  1.819,                 1.0049,                 1.7003,              0.0083962,              0.0083962,              0.0083962
                     83,                 1.3797,                0.80636,                 1.3565,                0.66861,                 0.6669,                0.65295,                 0.3594,                 1.8261,                 1.0401,                 1.6941,              0.0083764,              0.0083764,              0.0083764
                     84,                  1.387,                0.81596,                 1.3423,                0.66752,                0.66292,                0.65536,                0.35607,                 1.8434,                 1.0212,                 1.7057,              0.0083566,              0.0083566,              0.0083566
                     85,                 1.3764,                0.83026,                 1.3609,                0.64639,                0.66924,                0.66003,                0.35544,                 1.8245,                 1.0098,                 1.7068,              0.0083368,              0.0083368,              0.0083368
                     86,                 1.3731,                0.82394,                 1.3525,                0.67135,                0.64737,                0.65565,                0.35871,                 1.8207,                 1.0192,                 1.7069,               0.008317,               0.008317,               0.008317
                     87,                 1.3752,                0.81152,                 1.3441,                0.66957,                0.66683,                0.66205,                0.36067,                 1.8251,                 1.0035,                 1.7032,              0.0082972,              0.0082972,              0.0082972
                     88,                 1.3838,                0.81698,                 1.3503,                0.65223,                0.67365,                0.66074,                0.35683,                 1.8309,                  1.015,                 1.7105,              0.0082774,              0.0082774,              0.0082774
                     89,                 1.3704,                0.82685,                 1.3578,                0.65411,                0.67797,                0.66242,                0.35986,                 1.8222,                 1.0109,                 1.6922,              0.0082576,              0.0082576,              0.0082576
                     90,                 1.3776,                0.82318,                 1.3523,                0.66768,                0.66018,                0.65458,                0.35377,                 1.8362,                 1.0284,                 1.7193,              0.0082378,              0.0082378,              0.0082378
                     91,                 1.3821,                0.81832,                 1.3506,                0.67121,                0.67072,                0.66517,                0.36094,                 1.8433,                 1.0155,                 1.7004,               0.008218,               0.008218,               0.008218
                     92,                 1.3633,                0.81032,                 1.3448,                0.66835,                0.66113,                0.64888,                0.35176,                  1.848,                 1.0449,                 1.7237,              0.0081982,              0.0081982,              0.0081982
                     93,                 1.3732,                0.81205,                  1.353,                0.67002,                 0.6591,                0.65951,                0.35823,                 1.8371,                 1.0404,                 1.7223,              0.0081784,              0.0081784,              0.0081784
                     94,                 1.3613,                 0.8019,                 1.3319,                0.66622,                 0.6595,                0.65088,                0.35367,                 1.8539,                 1.0495,                 1.7379,              0.0081586,              0.0081586,              0.0081586
                     95,                 1.3609,                0.80231,                 1.3439,                0.66935,                0.66494,                0.65912,                0.35497,                 1.8407,                 1.0153,                 1.7225,              0.0081388,              0.0081388,              0.0081388
                     96,                 1.3355,                 0.7817,                 1.3295,                0.65308,                0.66518,                0.65609,                0.35817,                 1.8425,                 1.0362,                 1.7164,               0.008119,               0.008119,               0.008119
                     97,                 1.3347,                0.78346,                 1.3343,                0.66432,                0.66545,                0.65801,                 0.3517,                 1.8488,                 1.0432,                 1.7365,              0.0080992,              0.0080992,              0.0080992
                     98,                  1.349,                0.82397,                 1.3379,                0.64719,                0.67488,                0.64431,                0.34812,                 1.8418,                 1.0681,                 1.7196,              0.0080794,              0.0080794,              0.0080794
                     99,                 1.3392,                0.79078,                 1.3411,                0.67082,                0.67415,                0.66224,                0.35994,                 1.8405,                 1.0112,                 1.7197,              0.0080596,              0.0080596,              0.0080596
                    100,                 1.3429,                0.78792,                  1.333,                0.67115,                0.66586,                0.65621,                0.35571,                  1.852,                 1.0525,                 1.7343,              0.0080398,              0.0080398,              0.0080398
