                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8371,                 2.0281,                 1.5299,                0.55916,                0.41956,                0.46271,                0.26036,                 1.7226,                 1.2682,                 1.4467,              0.0033081,              0.0033081,              0.0033081
                      1,                 1.6655,                 1.2126,                 1.3634,                0.74673,                0.45664,                0.51933,                0.28014,                 1.7166,                 1.0964,                  1.321,              0.0066283,              0.0066283,              0.0066283
                      2,                 1.6725,                 1.1924,                 1.2852,                0.54455,                0.50038,                0.50427,                0.27736,                 1.7289,                 1.1711,                 1.2794,              0.0099352,              0.0099352,              0.0099352
                      3,                 1.6821,                 1.1546,                 1.2653,                0.49735,                0.49446,                0.49115,                0.27205,                 1.7329,                  1.167,                 1.2666,              0.0099406,              0.0099406,              0.0099406
                      4,                  1.672,                 1.1297,                 1.2789,                0.85599,                0.45178,                0.52809,                 0.2859,                 1.7059,                 1.1051,                 1.2867,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.6745,                 1.1053,                 1.2643,                0.58563,                0.50992,                0.53115,                0.28912,                 1.7497,                 1.0615,                 1.2975,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.6814,                  1.071,                 1.2654,                0.88118,                0.44808,                0.52099,                0.27739,                 1.7483,                 1.0896,                  1.275,               0.009901,               0.009901,               0.009901
                      7,                 1.6665,                 1.0654,                 1.2589,                0.56292,                 0.5342,                0.55269,                0.29648,                 1.6808,                 1.0072,                 1.2782,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.6619,                 1.0669,                 1.2755,                0.68953,                0.48555,                0.54682,                0.30214,                 1.6931,                  1.011,                 1.2648,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.6487,                 1.0513,                 1.2513,                0.58051,                0.53399,                0.55468,                0.30785,                 1.6996,                  1.003,                 1.2639,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.6515,                 1.0438,                 1.2477,                0.77824,                0.46354,                0.53696,                0.29082,                 1.6916,                  1.038,                 1.2568,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.6407,                 1.0263,                 1.2508,                0.60758,                 0.5183,                0.54803,                 0.3011,                 1.6935,                 1.0148,                 1.2766,               0.009802,               0.009802,               0.009802
                     12,                 1.6308,                 1.0312,                 1.2404,                0.72692,                0.46719,                0.55428,                0.29695,                 1.6771,                 1.0146,                 1.2665,              0.0097822,              0.0097822,              0.0097822
                     13,                  1.627,                 1.0127,                 1.2494,                0.62502,                0.52828,                0.56233,                0.30892,                 1.6818,                0.96616,                 1.2669,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.6196,                0.99883,                 1.2389,                0.57253,                 0.5509,                0.56266,                 0.3078,                 1.6644,                0.97733,                  1.257,              0.0097426,              0.0097426,              0.0097426
                     15,                  1.596,                 0.9953,                 1.2379,                 0.5699,                0.54195,                0.55548,                0.30292,                 1.6687,                0.99433,                 1.2471,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.6144,                0.97873,                 1.2362,                0.59232,                0.54714,                0.56673,                 0.3081,                 1.6748,                0.96807,                 1.2524,               0.009703,               0.009703,               0.009703
                     17,                 1.6063,                 0.9763,                 1.2347,                0.58405,                0.56381,                0.57164,                0.31248,                 1.6725,                0.95968,                  1.248,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.6303,                 1.0093,                 1.2436,                0.60031,                0.55495,                0.56826,                0.30981,                 1.6853,                0.96163,                 1.2555,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.6079,                0.97681,                 1.2208,                0.58944,                0.56377,                0.57705,                0.31729,                 1.6728,                0.94368,                 1.2429,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.6018,                0.97258,                 1.2302,                0.57086,                0.56418,                0.57953,                0.31587,                 1.6649,                0.93983,                 1.2358,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.6194,                0.98241,                 1.2332,                0.59647,                0.55907,                 0.5776,                0.32034,                 1.6716,                0.94558,                 1.2426,               0.009604,               0.009604,               0.009604
                     22,                 1.5888,                0.95885,                 1.2236,                0.59083,                0.55342,                0.56865,                0.31634,                 1.6647,                 0.9345,                  1.235,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.5994,                0.94376,                 1.2227,                0.64015,                0.56076,                0.58197,                0.31741,                 1.6895,                0.94463,                 1.2387,              0.0095644,              0.0095644,              0.0095644
                     24,                  1.573,                0.92682,                 1.2052,                0.62987,                0.55916,                 0.5841,                0.31834,                 1.6641,                0.92704,                 1.2463,              0.0095446,              0.0095446,              0.0095446
                     25,                   1.59,                0.94909,                 1.2157,                0.64323,                0.54647,                0.59274,                0.32551,                 1.6449,                 0.9139,                 1.2256,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.5931,                0.94622,                 1.2175,                0.58606,                0.57078,                0.58309,                0.31892,                 1.6596,                0.92602,                 1.2387,               0.009505,               0.009505,               0.009505
                     27,                 1.5584,                0.92489,                 1.2158,                 0.6295,                0.57369,                 0.5865,                 0.3266,                 1.6542,                0.93801,                 1.2416,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.5998,                0.93798,                 1.2165,                0.59888,                0.57282,                0.59219,                0.32299,                 1.6583,                0.91138,                 1.2429,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.5505,                0.91737,                 1.2083,                0.62077,                0.56899,                0.58799,                0.32363,                 1.6632,                0.90884,                 1.2525,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.5798,                0.92908,                 1.2188,                0.58594,                0.56924,                0.58258,                0.32078,                 1.6582,                0.92959,                 1.2224,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.5628,                0.91066,                 1.2126,                0.62577,                0.56603,                 0.5827,                0.32042,                 1.6594,                 0.9443,                 1.2328,               0.009406,               0.009406,               0.009406
                     32,                 1.5694,                 0.9088,                 1.2133,                0.62894,                0.56896,                0.59199,                0.32687,                 1.6485,                 0.9086,                 1.2346,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.5712,                0.92077,                 1.2064,                0.60641,                 0.5754,                0.59527,                0.32809,                 1.6415,                0.91112,                 1.2276,              0.0093664,              0.0093664,              0.0093664
                     34,                 1.5488,                0.90117,                 1.2123,                0.63528,                0.58514,                 0.5967,                0.33148,                 1.6452,                0.90549,                 1.2368,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.5694,                0.90706,                 1.2015,                0.62488,                0.57363,                0.58623,                0.32174,                 1.6757,                0.92979,                 1.2305,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.5694,                 0.9074,                 1.2175,                0.62447,                0.57218,                0.59178,                0.32417,                 1.6461,                0.92285,                 1.2356,               0.009307,               0.009307,               0.009307
                     37,                 1.5602,                0.91538,                  1.208,                0.61263,                0.58481,                0.60503,                 0.3289,                 1.6422,                0.89896,                 1.2335,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.5446,                 0.9036,                 1.1981,                0.61513,                0.57911,                0.60254,                0.33413,                 1.6474,                0.88564,                 1.2431,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.5563,                0.91495,                 1.2157,                0.62683,                  0.569,                0.59874,                 0.3255,                 1.6525,                0.89576,                 1.2237,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.5681,                0.90563,                  1.212,                0.63639,                0.58057,                  0.597,                0.33342,                  1.654,                0.88637,                 1.2434,              0.0092278,              0.0092278,              0.0092278
                     41,                  1.533,                0.89352,                 1.2012,                0.61864,                0.58353,                0.59556,                0.32806,                 1.6454,                0.90235,                 1.2321,               0.009208,               0.009208,               0.009208
                     42,                 1.5468,                0.89606,                 1.2051,                0.65484,                0.57908,                0.60118,                0.32833,                 1.6814,                0.90097,                 1.2508,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.5451,                0.88589,                 1.2039,                0.61103,                0.58753,                0.59764,                0.33084,                 1.6483,                0.90569,                 1.2394,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.5444,                0.89417,                 1.2091,                0.63386,                0.58759,                0.59985,                0.33229,                 1.6555,                0.88606,                 1.2234,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.5549,                0.88418,                 1.1943,                0.65287,                0.58403,                0.59904,                0.32988,                 1.6604,                 0.9501,                 1.2372,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.5384,                0.88385,                 1.1998,                0.62433,                0.58852,                0.60331,                0.33414,                 1.6548,                0.89785,                 1.2397,               0.009109,               0.009109,               0.009109
                     47,                 1.5181,                0.87588,                 1.1968,                0.64382,                0.58677,                0.60253,                0.33368,                 1.6657,                0.89774,                 1.2392,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.5475,                0.88088,                 1.2042,                0.63819,                0.57844,                0.59366,                0.33178,                 1.6435,                0.90568,                 1.2288,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.5233,                0.86872,                 1.1996,                0.60962,                0.59131,                0.60645,                0.33274,                 1.6497,                  0.881,                 1.2298,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.5272,                0.87325,                 1.1918,                0.67231,                0.58233,                0.60995,                0.33978,                 1.6378,                0.87435,                 1.2311,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.5171,                0.87251,                 1.1963,                0.63481,                0.58598,                0.60544,                  0.331,                 1.6609,                0.88959,                 1.2483,                0.00901,                0.00901,                0.00901
                     52,                 1.5124,                0.85781,                 1.1935,                0.65194,                0.59176,                0.60786,                0.33343,                 1.6462,                0.88164,                 1.2546,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.4977,                0.84272,                 1.1868,                0.63828,                0.59074,                0.61175,                0.33964,                 1.6339,                0.86142,                 1.2341,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.5269,                0.85877,                 1.1945,                0.64405,                0.58484,                0.60901,                0.33572,                 1.6403,                0.86731,                 1.2244,              0.0089506,              0.0089506,              0.0089506
                     55,                  1.517,                0.87262,                 1.1914,                0.62088,                0.59532,                0.60407,                0.33206,                 1.6679,                0.87602,                 1.2465,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.5238,                0.86311,                 1.1855,                0.64273,                  0.591,                0.60313,                0.33478,                 1.6452,                0.88242,                 1.2427,               0.008911,               0.008911,               0.008911
                     57,                 1.5151,                0.86051,                 1.1837,                0.65616,                0.58638,                0.61191,                0.33628,                 1.6599,                0.87504,                 1.2326,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.5011,                0.84256,                 1.1863,                0.63709,                0.58441,                0.60745,                0.33537,                 1.6474,                0.87034,                 1.2377,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.5078,                0.86005,                 1.1872,                0.63993,                0.59608,                0.60818,                0.33401,                 1.6559,                0.88423,                 1.2436,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.4843,                0.84668,                 1.1833,                 0.6263,                0.60039,                0.61299,                0.33644,                 1.6512,                0.87065,                  1.241,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.5119,                0.85428,                 1.1829,                0.62388,                0.59459,                0.61098,                0.33717,                 1.6465,                0.87452,                 1.2373,               0.008812,               0.008812,               0.008812
                     62,                 1.5058,                0.84278,                 1.1764,                0.64382,                0.58583,                0.61024,                 0.3373,                 1.6317,                0.86608,                 1.2283,              0.0087922,              0.0087922,              0.0087922
