                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8569,                 2.0389,                 1.6841,                0.61615,                0.49548,                0.54668,                 0.2962,                 1.7722,                 1.3003,                 1.5712,              0.0033081,              0.0033081,              0.0033081
                      1,                 1.6859,                 1.3184,                 1.4641,                0.58677,                0.56183,                0.57892,                0.31034,                 1.7321,                 1.1801,                 1.4431,              0.0066283,              0.0066283,              0.0066283
                      2,                 1.6759,                 1.2523,                 1.4044,                0.59507,                0.52056,                0.55293,                0.30486,                 1.7312,                   1.33,                 1.4279,              0.0099352,              0.0099352,              0.0099352
                      3,                 1.6736,                 1.2073,                 1.4082,                0.75366,                0.50419,                0.58837,                 0.3277,                 1.7334,                 1.1903,                 1.4038,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.6624,                 1.1919,                 1.4162,                0.66868,                0.51614,                0.57607,                0.32189,                 1.7528,                 1.2269,                 1.3983,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.6749,                 1.1788,                 1.4134,                0.58683,                0.56763,                0.59272,                0.32412,                 1.7654,                 1.1962,                 1.4279,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.6923,                 1.1704,                 1.4107,                0.59476,                0.55902,                 0.5845,                0.31821,                 1.7591,                 1.1914,                 1.4368,               0.009901,               0.009901,               0.009901
                      7,                 1.6622,                 1.1437,                 1.4008,                0.61214,                0.58075,                0.60758,                0.32476,                 1.7369,                 1.1309,                  1.425,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.6692,                 1.1287,                 1.4072,                0.63294,                0.58956,                0.62261,                0.34328,                 1.7402,                 1.1083,                 1.4147,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.6549,                 1.1167,                 1.3844,                0.58039,                0.57006,                0.58777,                0.31981,                 1.7303,                 1.2133,                 1.4199,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.6414,                   1.11,                 1.3874,                0.56082,                 0.6003,                0.60779,                0.33265,                 1.7186,                 1.1173,                 1.4236,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.6403,                 1.0908,                 1.3794,                0.61151,                0.61057,                0.62414,                0.34594,                 1.7236,                 1.0941,                 1.4145,               0.009802,               0.009802,               0.009802
                     12,                 1.6322,                 1.0981,                 1.3805,                0.61018,                0.58683,                0.61467,                 0.3401,                 1.7221,                 1.0855,                 1.4125,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.6293,                 1.0902,                 1.3866,                0.64556,                0.59167,                0.61431,                0.33988,                 1.7312,                 1.1128,                 1.4319,              0.0097624,              0.0097624,              0.0097624
                     14,                  1.622,                 1.0693,                  1.378,                0.63192,                0.61022,                0.62977,                0.35059,                 1.7042,                 1.0849,                   1.41,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.6021,                 1.0578,                 1.3764,                0.62116,                0.60444,                0.62181,                0.34284,                 1.7105,                 1.0809,                 1.4333,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.6286,                  1.059,                 1.3849,                0.63146,                0.61692,                0.63324,                0.34455,                 1.7177,                  1.052,                 1.4221,               0.009703,               0.009703,               0.009703
                     17,                 1.6172,                 1.0479,                  1.376,                0.59168,                0.62202,                0.61752,                0.33798,                 1.7257,                 1.0651,                 1.4378,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.6274,                 1.0586,                  1.386,                0.61579,                 0.6026,                0.61678,                0.34061,                 1.7165,                 1.1162,                 1.4258,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.6123,                 1.0516,                 1.3693,                0.64384,                0.60363,                0.62004,                0.33748,                 1.7228,                 1.0869,                 1.4364,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.6012,                 1.0432,                 1.3833,                0.62086,                0.60338,                0.60708,                0.33446,                 1.7165,                 1.1032,                   1.42,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.6305,                 1.0633,                 1.3839,                0.62631,                0.61958,                0.63344,                0.35247,                 1.7015,                 1.0517,                 1.4156,               0.009604,               0.009604,               0.009604
                     22,                 1.5852,                 1.0194,                 1.3663,                0.66057,                 0.5909,                0.62245,                0.34345,                  1.713,                 1.0915,                  1.422,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.5916,                 1.0179,                 1.3694,                0.65129,                0.62552,                0.64148,                0.35288,                 1.7319,                 1.0365,                  1.447,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.5765,                0.98943,                 1.3487,                0.61771,                0.62379,                0.63427,                0.35202,                 1.7196,                 1.0494,                 1.4255,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.5948,                 1.0178,                  1.355,                0.61106,                0.61736,                0.62899,                0.35089,                 1.7014,                 1.0378,                 1.4201,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.5984,                 1.0145,                 1.3541,                0.63638,                0.62178,                0.63644,                0.35273,                 1.7167,                 1.0337,                 1.3989,               0.009505,               0.009505,               0.009505
                     27,                 1.5653,                0.98429,                 1.3443,                0.63286,                0.63556,                0.63572,                0.34847,                  1.741,                 1.0698,                 1.4156,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.6056,                 1.0053,                 1.3531,                 0.6435,                0.61925,                0.64295,                0.35432,                 1.7247,                 1.0238,                 1.4324,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.5605,                0.99359,                  1.353,                0.66648,                0.61044,                0.64425,                0.35562,                 1.7298,                  1.006,                 1.4359,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.5745,                0.99628,                 1.3554,                0.63263,                0.62812,                0.63262,                0.35254,                 1.7207,                 1.0485,                 1.4023,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.5682,                0.97733,                  1.351,                0.64361,                0.62965,                0.64016,                0.35234,                 1.7176,                 1.0379,                 1.4181,               0.009406,               0.009406,               0.009406
                     32,                 1.5666,                0.97208,                  1.348,                0.63009,                0.62287,                0.63901,                0.35145,                 1.7166,                 1.0332,                 1.4117,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.5805,                0.98265,                 1.3362,                0.62788,                 0.6228,                0.63856,                0.35329,                 1.7188,                 1.0236,                 1.4231,              0.0093664,              0.0093664,              0.0093664
                     34,                 1.5533,                0.96363,                 1.3466,                0.62972,                0.63453,                 0.6404,                0.34937,                 1.7245,                 1.0381,                 1.4299,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.5792,                0.98165,                 1.3453,                0.65111,                0.62585,                0.63989,                0.35445,                 1.7285,                 1.0295,                 1.4176,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.5744,                0.98052,                 1.3638,                0.65035,                0.62375,                0.63967,                0.35441,                 1.7078,                 1.0356,                 1.4263,               0.009307,               0.009307,               0.009307
                     37,                 1.5552,                0.97849,                  1.346,                0.65157,                0.63738,                0.65105,                0.35838,                 1.7155,                 1.0119,                 1.4208,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.5464,                0.95501,                 1.3331,                 0.6525,                0.62103,                0.64488,                0.35787,                 1.7203,                 1.0149,                  1.431,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.5507,                0.96908,                 1.3433,                0.63662,                0.63016,                0.64744,                0.36013,                 1.7164,                 1.0098,                 1.4174,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.5704,                0.96956,                 1.3539,                0.63815,                0.64731,                0.65121,                0.35821,                 1.7172,                0.99601,                 1.4252,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.5348,                0.95475,                 1.3355,                0.66045,                0.62505,                0.64339,                 0.3523,                 1.7143,                 1.0187,                 1.4245,               0.009208,               0.009208,               0.009208
                     42,                 1.5464,                0.95681,                 1.3504,                0.65424,                0.64229,                0.65153,                0.35829,                 1.7305,                0.99443,                 1.4351,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.5368,                0.94233,                 1.3357,                0.63921,                0.62849,                0.64985,                0.36091,                 1.7129,                 1.0009,                 1.4221,              0.0091684,              0.0091684,              0.0091684
                     44,                  1.543,                0.95644,                 1.3546,                0.63669,                0.65181,                0.64847,                0.35901,                  1.715,                0.99522,                 1.4394,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.5512,                0.94075,                 1.3294,                0.65995,                0.64271,                 0.6465,                0.35811,                  1.718,                  1.038,                 1.4178,              0.0091288,              0.0091288,              0.0091288
