                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8869,                 3.0976,                 1.4378,                0.64375,                0.33232,                 0.2739,                0.14763,                 1.8658,                 2.0623,                 1.3384,              0.0033081,              0.0033081,              0.0033081
                      1,                 1.7917,                 1.6679,                 1.3425,                  0.455,                0.41082,                0.41573,                0.21944,                 1.8096,                 1.5249,                 1.3329,              0.0066283,              0.0066283,              0.0066283
                      2,                 1.7986,                 1.3944,                 1.3272,                0.54377,                0.42773,                0.43483,                  0.245,                  1.785,                 1.4038,                 1.3197,              0.0099352,              0.0099352,              0.0099352
                      3,                 1.7924,                 1.3441,                 1.3179,                0.52368,                0.41826,                0.43749,                0.23433,                 1.7982,                 1.3607,                 1.3193,              0.0099406,              0.0099406,              0.0099406
                      4,                  1.766,                 1.3309,                 1.3257,                0.77179,                0.43418,                0.49651,                0.26496,                 1.7674,                 1.2379,                 1.3123,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.7633,                 1.2665,                 1.3043,                0.53816,                0.47236,                0.48667,                0.25925,                  1.851,                 1.2227,                  1.348,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.7596,                  1.245,                  1.306,                0.86803,                0.42904,                0.49646,                0.26382,                 1.7674,                 1.2519,                 1.3027,               0.009901,               0.009901,               0.009901
                      7,                 1.7418,                 1.2186,                 1.2915,                0.75565,                0.40582,                0.46614,                0.24056,                 1.7815,                 1.2859,                  1.308,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.7483,                 1.2374,                 1.3088,                0.60435,                0.40642,                0.47592,                0.25885,                 1.7995,                 1.2982,                  1.318,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.7229,                 1.2207,                 1.2837,                0.54723,                0.49023,                0.51488,                0.27969,                 1.7292,                 1.1403,                 1.3026,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.7156,                 1.1998,                 1.2858,                0.66107,                0.42563,                0.48302,                0.26003,                 1.7598,                 1.2235,                 1.2952,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.7155,                  1.165,                 1.2814,                0.67172,                0.45692,                0.51963,                0.27561,                 1.7559,                 1.1909,                 1.3055,               0.009802,               0.009802,               0.009802
                     12,                 1.7013,                 1.1587,                 1.2715,                0.87386,                0.44229,                0.52175,                0.27729,                 1.7411,                 1.1582,                 1.2878,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.6957,                 1.1414,                 1.2793,                0.57023,                0.48155,                0.50203,                0.27335,                 1.7276,                  1.157,                 1.3274,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.6884,                 1.1273,                 1.2718,                0.70604,                0.43816,                0.52426,                0.27968,                 1.7329,                 1.1425,                 1.2865,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.6632,                 1.1133,                 1.2667,                0.58252,                0.43866,                0.47706,                0.25987,                 1.7531,                 1.2296,                   1.29,              0.0097228,              0.0097228,              0.0097228
                     16,                  1.687,                 1.1024,                 1.2627,                0.60771,                0.50831,                0.54144,                0.29415,                 1.7156,                 1.0754,                 1.2694,               0.009703,               0.009703,               0.009703
                     17,                 1.6774,                 1.1193,                 1.2652,                0.67176,                 0.4495,                0.53761,                0.29667,                 1.6953,                 1.0543,                 1.2731,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.7002,                 1.1184,                 1.2693,                0.54975,                0.51531,                0.53006,                0.28869,                 1.7166,                 1.0706,                 1.2771,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.6741,                 1.0945,                 1.2488,                0.57721,                0.51115,                0.53411,                0.29478,                 1.7221,                  1.041,                 1.2775,              0.0096436,              0.0096436,              0.0096436
                     20,                  1.667,                 1.0789,                 1.2589,                0.68088,                0.46489,                0.54413,                0.29602,                 1.7042,                 1.0426,                 1.2653,              0.0096238,              0.0096238,              0.0096238
